0.9094554383	terra
0.9082360938	prometheus
0.9064560210	chris
0.9062952699	ming
0.9059958599	bicmos
0.9042335165	miami
0.9040157284	lang
0.9033036072	athena
0.9018984147	mach
0.9016942063	cao
0.9012808269	siemens
0.9011854605	pegasus
0.9011412534	ruby
0.9009719837	cisco
0.9008183952	esterel
0.9005198248	mann
0.9005191547	lustre
0.9004477262	han
0.9003778635	weibull
0.9002715222	legion
0.8999910320	promodel
0.8998424157	tim
0.8993886274	cyclops
0.8993175176	dirac
0.8990056574	zigzag
0.8989941547	hu
0.8987833940	weka
0.8986005715	cox
0.8985151457	amoeba
0.8984542296	cosmos
0.8984093578	golog
0.8983818788	raman
0.8983689502	fedora
0.8982237002	gale
0.8981628810	jigsaw
0.8981604028	crown
0.8978042863	genesis
0.8977007467	bologna
0.8976247561	nokia
0.8976052746	austin
0.8973972257	muse
0.8972838319	schubert
0.8971705289	hydra
0.8969822104	comma
0.8968732951	knight
0.8968294624	neo
0.8967884072	koala
0.8967517820	eric
0.8967204076	synopsys
0.8965183170	dear
0.8964827875	titan
0.8964776472	lingo
0.8964734452	polsar
0.8964669100	automod
0.8964657870	xen
0.8964512949	arnold
0.8964315204	davis
0.8963464818	kurt
0.8963369766	jim
0.8963250333	sige
0.8962852387	alan
0.8962772835	espresso
0.8961418307	pearl
0.8959250615	modelica
0.8959103680	arcade
0.8955650585	guha
0.8955607067	trivium
0.8955406499	lasso
0.8955286555	freebsd
0.8954466023	nmos
0.8950080548	salt
0.8949201626	puma
0.8949187151	pine
0.8949174716	hessian
0.8947714978	hera
0.8947459337	cgi
0.8947417858	coq
0.8947052362	patricia
0.8946913536	sato
0.8946617129	condor
0.8946283073	safari
0.8945219929	comet
0.8945174710	berge
0.8944857169	costa
0.8944324719	curb
0.8944048690	lin
0.8943168533	jboss
0.8942793601	codd
0.8942596539	wen
0.8942556556	gnutella
0.8942204008	telos
0.8942196507	parsec
0.8941937200	nomad
0.8941568692	drama
0.8941439170	moby
0.8940926410	villa
0.8940881413	andy
0.8940808805	dragon
0.8940030458	swift
0.8939848795	daniel
0.8939403075	parlay
0.8939373044	bayer
0.8939187263	wu
0.8938378361	int
0.8938347488	powell
0.8938294624	tea
0.8938005163	pat
0.8937886162	nova
0.8937423787	apple
0.8937349021	larch
0.8937264478	kyoto
0.8936674013	thailand
0.8936580638	eng
0.8936179643	tcl
0.8935817252	yin
0.8935700852	loom
0.8935198935	sync
0.8934247789	hawk
0.8933882378	leon
0.8933253916	xerox
0.8932869250	sesame
0.8932708792	ls
0.8931989697	sphinx
0.8931879092	fresco
0.8931012201	sperner
0.8930711228	sys
0.8929671708	zebra
0.8928974284	shrimp
0.8928784959	meteor
0.8927943669	yang
0.8927835441	irvine
0.8927518344	polinsar
0.8927459337	slim
0.8925212433	micali
0.8924258043	kirchhoff
0.8923569393	heapsort
0.8922874361	sun
0.8922548059	excel
0.8922246869	magma
0.8921939144	eucalyptus
0.8921794892	artemis
0.8921659008	dinsar
0.8921637103	stark
0.8921559162	knuth
0.8921537051	estonian
0.8920747408	vista
0.8920313400	spider
0.8920176844	falcon
0.8919525674	protégé
0.8918128361	cedar
0.8917828304	mesa
0.8917579288	lsis
0.8917382972	camshift
0.8916556152	apache
0.8914978424	hollywood
0.8914333045	bildung
0.8914144413	steve
0.8913800395	hopper
0.8913345544	ivy
0.8912803344	emerald
0.8912552657	prob
0.8912473851	donald
0.8912192222	canadian
0.8912049211	pagerank
0.8911790096	zeno
0.8911678581	allen
0.8911440619	blast
0.8911322690	lamp
0.8910902421	rosettanet
0.8910771595	lex
0.8910365990	mart
0.8910347847	walter
0.8909915361	zen
0.8909826260	morris
0.8909698959	lipton
0.8909446464	aqua
0.8909273953	mole
0.8908771047	sen
0.8908724986	lotos
0.8908469495	lava
0.8908294624	saga
0.8908176629	ss
0.8907699571	tamil
0.8907647271	weber
0.8907415361	minerva
0.8907363558	apples
0.8906441830	telosb
0.8905745538	async
0.8905515934	darwinian
0.8905423954	dedekind
0.8904608481	israel
0.8904333045	ingaas
0.8904269678	proteus
0.8902839159	genius
0.8902590545	insar
0.8902531400	sysml
0.8902521056	moon
0.8902334498	wine
0.8901890265	gen
0.8901810092	nmr
0.8901774247	ascii
0.8901660730	vmware
0.8900921830	eve
0.8900515970	squirrel
0.8899997226	delphi
0.8899392637	martin
0.8898948613	cyc
0.8898843511	scoop
0.8898499338	medline
0.8898316232	europa
0.8898210275	vt
0.8897905952	satin
0.8897840545	fujitsu
0.8897735629	kerberos
0.8897679644	dagger
0.8897468606	ki
